Zip,state,Subregion annual CO2e output emission rate (lb/kWh)
2,AK,0.4501044
6,AK,1.259639
7,AK,0.4501044
10,AK,0.4501044
11,AK,1.259639
12,CA,0.6132845
14,AZ,1.1828918
15,AZ,1.1828918
16,CA,0.6132845
17,CA,0.6132845
18,CA,0.6132845
19,CA,0.6132845
20,CA,0.6132845
22,CA,0.6132845
26,CA,0.6132845
27,CO,1.9062696
28,CA,0.6132845
29,CA,0.6132845
31,CA,0.6132845
32,CA,0.6132845
33,CA,0.8469688
34,CA,0.8469688
35,CA,0.8469688
37,CA,0.6132845
38,CA,0.6132845
39,CA,0.6132845
40,CA,0.6132845
41,FL,1.2017931
42,FL,1.2017931
43,FL,1.2017931
44,CA,0.6132845
45,FL,1.2017931
47,CA,0.6132845
48,CA,0.6132845
49,CA,0.8469688
50,CA,0.6132845
51,CA,0.6132845
52,CA,0.6132845
53,FL,1.2017931
54,CA,0.6132845
55,CA,0.6132845
56,ID,0.8469688
58,CA,0.6132845
59,MN,1.5451098
60,MN,1.5451098
63,MT,0.8469688
64,NM,1.1828918
65,CA,0.6132845
66,NM,1.1828918
67,OK,1.5875541
68,OR,0.8469688
69,OR,0.8469688
70,OR,0.8469688
71,UT,0.8469688
72,WA,0.8469688
73,WA,0.8469688
74,WA,0.8469688
76,WA,0.8469688
77,OR,0.8469688
84,NC,1.0795718
87,FL,1.2017931
97,FL,1.2017931
98,FL,1.2017931
100,UT,0.8469688
116,LA,1.0335843
119,LA,1.0335843
121,LA,1.0335843
127,ME,0.727603
130,ME,0.727603
134,ME,0.727603
135,ME,0.727603
137,ME,0.727603
138,ME,0.727603
139,ME,0.727603
141,ME,0.727603
151,ME,0.727603
152,MD,1.0070369
158,MA,0.727603
160,MN,1.5451098
161,MN,1.5451098
164,MN,1.5451098
165,MN,1.5451098
166,MN,1.5451098
168,NH,0.727603
172,NH,0.727603
173,NH,0.727603
174,NH,0.727603
176,NH,0.727603
177,NH,0.727603
179,NH,0.727603
180,NH,0.727603
181,NH,0.727603
182,NH,0.727603
183,NH,0.727603
184,NH,0.727603
185,NH,0.727603
188,TX,1.2228831
195,WA,0.8469688
197,AZ,1.1828918
198,AK,1.259639
199,AZ,1.1828918
501,NY,1.3410096
544,NY,1.3410096
1001,MA,0.727603
1002,MA,0.727603
1003,MA,0.727603
1004,MA,0.727603
1005,MA,0.727603
1007,MA,0.727603
1008,MA,0.727603
1009,MA,0.727603
1010,MA,0.727603
1011,MA,0.727603
1012,MA,0.727603
1013,MA,0.727603
1014,MA,0.727603
1020,MA,0.727603
1021,MA,0.727603
1022,MA,0.727603
1026,MA,0.727603
1027,MA,0.727603
1028,MA,0.727603
1029,MA,0.727603
1030,MA,0.727603
1031,MA,0.727603
1032,MA,0.727603
1033,MA,0.727603
1034,MA,0.727603
1035,MA,0.727603
1036,MA,0.727603
1037,MA,0.727603
1038,MA,0.727603
1039,MA,0.727603
1040,MA,0.727603
1041,MA,0.727603
1050,MA,0.727603
1053,MA,0.727603
1054,MA,0.727603
1056,MA,0.727603
1057,MA,0.727603
1059,MA,0.727603
1060,MA,0.727603
1061,MA,0.727603
1062,MA,0.727603
1063,MA,0.727603
1066,MA,0.727603
1068,MA,0.727603
1069,MA,0.727603
1070,MA,0.727603
1071,MA,0.727603
1072,MA,0.727603
1073,MA,0.727603
1074,MA,0.727603
1075,MA,0.727603
1077,MA,0.727603
1079,MA,0.727603
1080,MA,0.727603
1081,MA,0.727603
1082,MA,0.727603
1083,MA,0.727603
1084,MA,0.727603
1085,MA,0.727603
1086,MA,0.727603
1088,MA,0.727603
1089,MA,0.727603
1090,MA,0.727603
1092,MA,0.727603
1093,MA,0.727603
1094,MA,0.727603
1095,MA,0.727603
1096,MA,0.727603
1097,MA,0.727603
1098,MA,0.727603
1101,MA,0.727603
1102,MA,0.727603
1103,MA,0.727603
1104,MA,0.727603
1105,MA,0.727603
1106,MA,0.727603
1107,MA,0.727603
1108,MA,0.727603
1109,MA,0.727603
1111,MA,0.727603
1115,MA,0.727603
1116,MA,0.727603
1118,MA,0.727603
1119,MA,0.727603
1128,MA,0.727603
1129,MA,0.727603
1138,MA,0.727603
1139,MA,0.727603
1144,MA,0.727603
1151,MA,0.727603
1152,MA,0.727603
1199,MA,0.727603
1201,MA,0.727603
1202,MA,0.727603
1203,MA,0.727603
1220,MA,0.727603
1222,MA,0.727603
1223,MA,0.727603
1224,MA,0.727603
1225,MA,0.727603
1226,MA,0.727603
1227,MA,0.727603
1229,MA,0.727603
1230,MA,0.727603
1235,MA,0.727603
1236,MA,0.727603
1237,MA,0.727603
1238,MA,0.727603
1240,MA,0.727603
1242,MA,0.727603
1243,MA,0.727603
1244,MA,0.727603
1245,MA,0.727603
1247,MA,0.727603
1252,MA,0.727603
1253,MA,0.727603
1254,MA,0.727603
1255,MA,0.727603
1256,MA,0.727603
1257,MA,0.727603
1258,MA,0.727603
1259,MA,0.727603
1260,MA,0.727603
1262,MA,0.727603
1263,MA,0.727603
1264,MA,0.727603
1266,MA,0.727603
1267,MA,0.727603
1270,MA,0.727603
1301,MA,0.727603
1302,MA,0.727603
1330,MA,0.727603
1331,MA,0.727603
1337,MA,0.727603
1338,MA,0.727603
1339,MA,0.727603
1340,MA,0.727603
1341,MA,0.727603
1342,MA,0.727603
1343,MA,0.727603
1344,MA,0.727603
1346,MA,0.727603
1347,MA,0.727603
1349,MA,0.727603
1350,MA,0.727603
1351,MA,0.727603
1354,MA,0.727603
1355,MA,0.727603
1360,MA,0.727603
1364,MA,0.727603
1366,MA,0.727603
1367,MA,0.727603
1368,MA,0.727603
1370,MA,0.727603
1373,MA,0.727603
1375,MA,0.727603
1376,MA,0.727603
1378,MA,0.727603
1379,MA,0.727603
1380,MA,0.727603
1420,MA,0.727603
1430,MA,0.727603
1431,MA,0.727603
1432,MA,0.727603
1434,MA,0.727603
1436,MA,0.727603
1438,MA,0.727603
1440,MA,0.727603
1441,MA,0.727603
1450,MA,0.727603
1451,MA,0.727603
1452,MA,0.727603
1453,MA,0.727603
1460,MA,0.727603
1462,MA,0.727603
1463,MA,0.727603
1464,MA,0.727603
1467,MA,0.727603
1468,MA,0.727603
1469,MA,0.727603
1470,MA,0.727603
1471,MA,0.727603
1472,MA,0.727603
1473,MA,0.727603
1474,MA,0.727603
1475,MA,0.727603
1477,MA,0.727603
1501,MA,0.727603
1503,MA,0.727603
1504,MA,0.727603
1505,MA,0.727603
1506,MA,0.727603
1507,MA,0.727603
1508,MA,0.727603
1509,MA,0.727603
1510,MA,0.727603
1515,MA,0.727603
1516,MA,0.727603
1517,MA,0.727603
1518,MA,0.727603
1519,MA,0.727603
1520,MA,0.727603
1521,MA,0.727603
1522,MA,0.727603
1523,MA,0.727603
1524,MA,0.727603
1525,MA,0.727603
1526,MA,0.727603
1527,MA,0.727603
1529,MA,0.727603
1531,MA,0.727603
1532,MA,0.727603
1534,MA,0.727603
1535,MA,0.727603
1536,MA,0.727603
1537,MA,0.727603
1538,MA,0.727603
1540,MA,0.727603
1541,MA,0.727603
1542,MA,0.727603
1543,MA,0.727603
1545,MA,0.727603
1546,MA,0.727603
1550,MA,0.727603
1560,MA,0.727603
1561,MA,0.727603
1562,MA,0.727603
1564,MA,0.727603
1566,MA,0.727603
1568,MA,0.727603
1569,MA,0.727603
1570,MA,0.727603
1571,MA,0.727603
1580,MA,0.727603
1581,MA,0.727603
1582,MA,0.727603
1583,MA,0.727603
1585,MA,0.727603
1586,MA,0.727603
1588,MA,0.727603
1590,MA,0.727603
1601,MA,0.727603
1602,MA,0.727603
1603,MA,0.727603
1604,MA,0.727603
1605,MA,0.727603
1606,MA,0.727603
1607,MA,0.727603
1608,MA,0.727603
1609,MA,0.727603
1610,MA,0.727603
1611,MA,0.727603
1612,MA,0.727603
1613,MA,0.727603
1614,MA,0.727603
1615,MA,0.727603
1653,MA,0.727603
1654,MA,0.727603
1655,MA,0.727603
1701,MA,0.727603
1702,MA,0.727603
1703,MA,0.727603
1704,MA,0.727603
1705,MA,0.727603
1718,MA,0.727603
1719,MA,0.727603
1720,MA,0.727603
1721,MA,0.727603
1730,MA,0.727603
1731,MA,0.727603
1740,MA,0.727603
1741,MA,0.727603
1742,MA,0.727603
1745,MA,0.727603
1746,MA,0.727603
1747,MA,0.727603
1748,MA,0.727603
1749,MA,0.727603
1752,MA,0.727603
1754,MA,0.727603
1756,MA,0.727603
1757,MA,0.727603
1760,MA,0.727603
1770,MA,0.727603
1772,MA,0.727603
1773,MA,0.727603
1775,MA,0.727603
1776,MA,0.727603
1778,MA,0.727603
1784,MA,0.727603
1801,MA,0.727603
1803,MA,0.727603
1805,MA,0.727603
1807,MA,0.727603
1810,MA,0.727603
1812,MA,0.727603
1813,MA,0.727603
1815,MA,0.727603
1821,MA,0.727603
1822,MA,0.727603
1824,MA,0.727603
1826,MA,0.727603
1827,MA,0.727603
1830,MA,0.727603
1831,MA,0.727603
1832,MA,0.727603
1833,MA,0.727603
1834,MA,0.727603
1835,MA,0.727603
1840,MA,0.727603
1841,MA,0.727603
1842,MA,0.727603
1843,MA,0.727603
